Nodes;Edges;Sequential Time;Parallel Time;
6860;6860;0.777422;0.959862;
6870;6870;0.875465;1.150996;
6880;6880;1.869360;1.710110;
6890;6890;1.872671;1.722853;
6900;6900;1.858997;1.730406;
6910;6910;1.868233;1.726955;
6920;6920;1.875001;1.734065;
6930;6930;1.903171;1.734914;
6940;6940;1.906105;1.738513;
6950;6950;1.896082;1.749835;
6960;6960;1.895714;1.749215;
6970;6970;1.909334;1.758633;
6980;6980;1.905570;1.754217;
6990;6990;1.903948;1.761789;
7000;7000;1.924034;1.087225;
7010;7010;0.797143;0.920538;
7020;7020;0.793324;1.257976;
7030;7030;1.947518;1.795093;
7040;7040;1.942463;1.797265;
7050;7050;1.946621;1.792444;
7060;7060;1.985727;1.810123;
7070;7070;1.960855;1.808463;
7080;7080;1.954236;1.807373;
7090;7090;1.986189;1.659585;
7100;7100;0.801476;0.935535;
7110;7110;0.815216;0.994337;
7120;7120;0.828976;0.993210;
7130;7130;0.837858;1.003679;
7140;7140;0.828609;1.004981;
7150;7150;0.830754;1.016259;
7160;7160;0.855872;0.961030;
7170;7170;0.869502;0.998886;
7180;7180;0.877858;1.022191;
7190;7190;0.869389;1.029150;
7200;7200;0.884383;1.019681;
7210;7210;0.881394;1.029427;
7220;7220;0.894380;1.025091;
7230;7230;0.842075;1.033452;
7240;7240;0.903491;1.031169;
7250;7250;0.853465;1.044119;
7260;7260;2.060717;1.886997;
7270;7270;2.085168;1.903001;
7280;7280;2.096215;1.894021;
7290;7290;2.132911;1.906491;
7300;7300;2.078974;1.914835;
7310;7310;2.093306;1.925006;
7320;7320;2.137713;1.922665;
7330;7330;2.132541;1.926195;
7340;7340;2.168727;1.923934;
7350;7350;2.120247;1.933878;
7360;7360;2.175673;1.932363;
7370;7370;2.162323;1.936130;
7380;7380;2.165219;1.940741;
7390;7390;2.157150;1.944594;
7400;7400;2.194983;1.954081;
7410;7410;2.163341;1.958151;
7420;7420;2.165933;1.972881;
7430;7430;2.169072;1.965022;
7440;7440;2.134379;0.990059;
7450;7450;0.907892;1.084312;
7460;7460;1.014099;1.064233;
7470;7470;0.945003;1.075143;
7480;7480;0.946973;1.077170;
7490;7490;0.940564;1.087863;
7500;7500;0.911590;1.084456;
7510;7510;0.924194;1.090538;
7520;7520;1.155216;2.014889;
7530;7530;2.248074;2.011047;
7540;7540;2.291226;2.017430;
7550;7550;2.287962;2.033718;
7560;7560;2.269352;2.031706;
7570;7570;2.285801;2.034792;
7580;7580;2.277120;2.041717;
7590;7590;2.283748;2.037279;
7600;7600;2.323427;2.071211;
7610;7610;2.320690;2.055752;
7620;7620;2.302638;2.068645;
7630;7630;2.326106;2.055256;
7640;7640;2.324946;2.089841;
7650;7650;1.490576;1.046604;
7660;7660;0.967246;1.137852;
7670;7670;0.991560;1.125858;
7680;7680;0.998824;1.522969;
7690;7690;2.367233;2.090335;
7700;7700;2.369502;2.094381;
7710;7710;2.379611;2.101310;
7720;7720;2.389068;2.126870;
7730;7730;2.400416;2.114979;
7740;7740;2.370093;2.111525;
7750;7750;2.390248;2.127039;
7760;7760;2.400993;2.134274;
7770;7770;2.432191;2.130220;
7780;7780;2.422690;2.121049;
7790;7790;2.443912;2.156572;
7800;7800;2.447737;2.161724;
7810;7810;2.426637;2.155333;
7820;7820;2.434677;1.586619;
7830;7830;0.992430;1.119731;
7840;7840;1.016780;1.164900;
7850;7850;1.013322;1.176837;
7860;7860;1.051572;1.309332;
7870;7870;1.039381;1.111142;
7880;7880;1.022631;1.869849;
7890;7890;2.528130;2.211919;
7900;7900;2.507265;2.232778;
7910;7910;2.493892;2.206490;
7920;7920;2.533953;2.234007;
7930;7930;2.536525;2.227569;
7940;7940;2.529879;2.216518;
7950;7950;1.034810;1.119235;
7960;7960;1.081781;1.993594;
7970;7970;2.554668;2.250570;
7980;7980;2.556575;2.323495;
7990;7990;2.564840;2.290181;
8000;8000;2.597333;2.298045;
8010;8010;2.581078;2.294543;
8020;8020;2.575932;2.299122;
8030;8030;2.601385;2.309801;
8040;8040;2.601627;2.324642;
8050;8050;2.581219;2.319623;
8060;8060;2.631391;2.182338;
8070;8070;1.081383;1.149375;
8080;8080;1.083789;2.241428;
8090;8090;2.641228;2.293148;
8100;8100;2.638570;2.338870;
8110;8110;2.632181;2.332478;
8120;8120;2.734766;2.371806;
8130;8130;2.643193;2.377809;
8140;8140;2.663121;2.362370;
8150;8150;2.684266;2.381319;
8160;8160;2.696264;2.388597;
8170;8170;2.694945;2.382483;
8180;8180;2.235850;1.160635;
8190;8190;1.125354;1.253794;
8200;8200;1.146525;1.362968;
8210;8210;1.150715;1.192231;
8220;8220;1.114020;1.261747;
8230;8230;1.164574;1.264167;
8240;8240;1.765320;2.374989;
8250;8250;2.720050;2.424275;
8260;8260;2.799379;2.389912;
8270;8270;2.747655;2.384545;
8280;8280;2.745537;2.397489;
8290;8290;2.785454;2.417741;
8300;8300;2.803306;2.406075;
8310;8310;2.792816;2.408061;
8320;8320;2.836840;2.398074;
8330;8330;2.777066;2.416496;
8340;8340;2.817244;2.436233;
8350;8350;2.834409;2.431849;
8360;8360;2.815811;2.442181;
8370;8370;2.803725;1.208807;
8380;8380;1.154218;1.295861;
8390;8390;1.187914;1.372590;
8400;8400;1.229649;1.301182;
8410;8410;1.169036;1.319091;
8420;8420;1.173870;1.321202;
8430;8430;1.159384;2.500346;
8440;8440;2.858730;2.548065;
8450;8450;2.862448;2.493573;
8460;8460;2.905971;2.494205;
8470;8470;2.891893;2.521837;
8480;8480;2.901555;2.560427;
8490;8490;2.979150;2.508389;
8500;8500;2.900485;2.515864;
8510;8510;2.977071;2.539184;
8520;8520;2.952287;2.550565;
8530;8530;2.960070;2.536102;
8540;8540;3.006577;2.200946;
8550;8550;1.194263;1.255329;
8560;8560;1.198541;1.274630;
8570;8570;1.326837;2.537773;
8580;8580;2.970237;2.601202;
8590;8590;2.971142;2.561533;
8600;8600;2.993564;2.573713;
8610;8610;2.991668;2.580968;
8620;8620;3.008281;2.572744;
8630;8630;3.053098;2.592250;
8640;8640;3.071161;2.603767;
8650;8650;3.045716;2.244423;
8660;8660;1.254583;1.347689;
8670;8670;1.254676;1.377144;
8680;8680;1.247400;1.379513;
8690;8690;1.252244;1.381221;
8700;8700;1.244696;1.383373;
8710;8710;1.266610;1.396926;
8720;8720;1.250316;1.394514;
8730;8730;1.300631;2.637883;
8740;8740;3.310218;2.665532;
8750;8750;3.121633;2.656591;
8760;8760;3.150778;2.666325;
8770;8770;3.149513;2.664994;
8780;8780;3.158604;2.668303;
8790;8790;3.146081;2.684669;
8800;8800;3.264086;2.697594;
8810;8810;3.180870;2.692876;
8820;8820;3.171556;2.690716;
8830;8830;3.188065;1.401955;
8840;8840;1.280266;1.377015;
8850;8850;3.090987;2.727232;
8860;8860;3.238609;2.763474;
