Nodes;Edges;Sequential Time;OMP 2 THREADS;OMP 3 THREADS;OMP 4 THREADS;
16600;16600;2.676031;4.205420;1.428966;1.233960;
16700;16700;2.636937;2.683628;2.916733;1.234441;
16800;16800;3.449533;3.396497;1.478566;1.489197;
16900;16900;2.722147;2.041399;1.717302;1.564055;
17000;17000;2.728638;3.525271;2.158809;1.301380;
17100;17100;4.647905;2.415266;1.507580;1.459970;
17200;17200;2.825012;2.105331;1.777858;1.605632;
17300;17300;2.829345;3.881652;1.952095;1.336553;
17400;17400;5.295903;2.004861;1.716671;3.147763;
17500;17500;3.284183;2.211278;1.828994;1.659459;
17600;17600;3.030387;4.466350;1.637142;1.414425;
17700;17700;3.719216;3.658888;1.614070;1.704245;
17800;17800;3.036917;4.471836;1.670625;1.409813;
17900;17900;3.809793;3.717803;1.667105;1.726386;
18000;18000;3.097979;2.338742;1.935599;1.766021;
18100;18100;3.136197;4.267374;1.872015;1.465380;
18200;18200;4.116538;3.683275;1.707092;1.800001;
18300;18300;3.347871;2.472376;2.004164;1.828793;
18400;18400;3.221208;4.495313;1.834043;1.533736;
18500;18500;4.225553;3.592921;1.784721;2.627557;
18600;18600;5.099983;3.144920;3.228138;1.567703;
18700;18700;4.540125;3.410520;1.805349;1.847899;
18800;18800;3.476995;4.756479;1.883045;1.899211;
18900;18900;3.396773;4.585471;1.860536;1.572640;
19000;19000;5.001328;3.175951;1.897030;1.943485;
19100;19100;3.491635;4.815316;1.936925;1.943167;
19200;19200;3.638725;4.716287;1.954245;1.986552;
19300;19300;3.597480;4.850158;1.928968;2.033467;
19400;19400;3.605449;4.857454;1.950514;2.024894;
19500;19500;3.633432;4.957140;1.938822;2.067372;
19600;19600;4.155730;4.337156;1.944413;3.165011;
19700;19700;5.018252;2.710565;2.344673;2.083374;
19800;19800;3.833884;4.835901;2.003133;2.101258;
19900;19900;4.061104;4.629101;2.046140;3.299484;
20000;20000;5.127116;5.125334;2.073013;2.170805;
